_id.lang,_id.totalViews,value
"aa",-1.0,"%D0%92%D0%B0%D1%81%D1%96%D0%BB%D1%8C_%D0%91%D1%8B%D0%BA%D0%B0%D1%9E"
"ab",-9.0,"ab"
"ab",-5.0,"%D0%98%D1%85%D0%B0%D0%B4%D0%BE%D1%83_%D0%B0%D0%B4%D0%B0%D2%9F%D1%8C%D0%B0"
"ab",-2.0,"%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0_%D0%95%D0%B8%D0%B4%D1%83_%D0%90%D1%88%D1%82%D0%B0%D1%82%D2%9B%D3%99%D0%B0"
"ab",-1.0,"%D0%90%D0%B2%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%3A%D0%90%D0%BA%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%82%D3%99_%D0%B0%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0"
"ace",-103.0,"setup.php"
"ace",-10.0,"ace"
"ace",-8.0,"%C3%94n_Keu%C3%AB"
"ace",-5.0,"Laos"
"ace",-3.0,"User"
"ace",-2.0,"Arab_Saudi"
"ace",-1.0,"%C3%88kuador"
"af",-364.0,"tuisblad"
"af",-309.0,"setup.php"
"af",-167.0,"af"
"af",-35.0,"Tuisblad"
"af",-6.0,"Nederlands"
"af",-5.0,"Engels"
"af",-4.0,"Afrikaans"
"af",-3.0,".fj"
"af",-2.0,"%CE%BF%CE%BB%CE%BB%CE%B1%CE%BD%CE%B4%CE%B9%CE%BA%CE%AC"
"af",-1.0,"%23Verskillende_tipes_van_hernubare_energie"
"ak",-8.0,"Krataafa_Titiriw"
"ak",-1.0,"%C6%90l%C9%9Bktrisiti"
"als",-91.0,"als"
"als",-26.0,"Houptsyte"
"als",-10.0,"Kim_Jong-il"
"als",-8.0,"Sex"
"als",-7.0,"Liechtenstein"
"als",-5.0,"Liste_der_chemischen_Elemente_nach_dem_Namen"
"als",-3.0,"Bonndorf_im_Schwarzwald"
"als",-2.0,"12._Jahrhundert"
"als",-1.0,"%C3%96kologie"
"am",-58.0,"am"
"am",-18.0,"%E1%8B%8B%E1%8A%93%E1%8B%8D_%E1%8C%88%E1%8C%BD"
"am",-14.0,"%25E1%258A%25A0%25E1%2589%25A3%25E1%2588%25B2%25E1%258B%25B6%25E1%2589%25BD"
"am",-5.0,"%E1%88%9E%E1%8A%93_%E1%88%8A%E1%8B%9B"
"am",-4.0,"%E1%8A%A0%E1%8B%B2%E1%88%B5_%E1%8A%A0%E1%89%A0%E1%89%A3"
"am",-3.0,"%E1%8A%A0%E1%88%9B%E1%88%AD%E1%8A%9B"
"am",-2.0,"%E1%88%8C%E1%88%8A%E1%89%B5"
"am",-1.0,"%C3%81%C3%83%C2%AF%C3%82%C2%BF%C3%82%C2%BD%C3%83%C2%AF%C3%82%C2%BF%C3%82%C2%BD%C3%A1%C3%83%C2%AF%C3%82%C2%BF%C3%82%C2%BD%C3%83%C2%AF%C3%82%C2%BF%C3%82%C2%BD%C3%A1%C3%83%C2%AF%C3%82%C2%BF%C3%82%C2%BD%C2%A2%C3%A1%C3%83%C2%AF%C3%82%C2%BF%C3%82%C2%BD%C2%AB"
"an",-160.0,"an"
"an",-103.0,"setup.php"
"an",-10.0,"Portalada"
"an",-9.0,"Kim_Jong-Il"
"an",-6.0,"/index.php"
"an",-4.0,"Macau"
"an",-3.0,"11_d%27aviento"
"an",-2.0,"10_d%27aviento"
"an",-1.0,"%C3%81rbol"
"ang",-21.0,"H%C4%93afods%C4%ABde"
"ang",-10.0,"ang"
"ang",-4.0,"Barack_Obama"
"ang",-3.0,"1933"
"ang",-2.0,"%C4%92astr%C4%ABce-Ungerland"
"ang",-1.0,"%C3%86fterra_G%C4%93ola"
"ar",-9819.0,"ar"
"ar",-3411.0,"%D8%A7%D9%84%D8%AD%D8%AC%D8%A7%D8%B2"
"ar",-2820.0,"%D9%85%D8%B9%D8%B3%D9%83%D8%B1"
"ar",-1464.0,"%D8%A7%D9%84%D8%B5%D9%81%D8%AD%D8%A9_%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A%D8%A9"
"ar",-195.0,"%D9%85%D9%83%D8%A9"
"ar",-104.0,"%D8%B9%D9%8A%D8%AF_%D8%A7%D9%84%D9%85%D9%8A%D9%84%D8%A7%D8%AF"
"ar",-101.0,"setup.php"
"ar",-97.0,"%D9%85%D8%B5%D8%B1"
"ar",-73.0,"%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8"
"ar",-70.0,"%D8%B1%D8%A3%D8%B3_%D8%A7%D9%84%D8%B3%D9%86%D8%A9_%D8%A7%D9%84%D9%85%D9%8A%D9%84%D8%A7%D8%AF%D9%8A%D8%A9"
"ar",-69.0,"%D9%81%D9%8A%D8%B3%E2%81%AC%D8%A8%D9%88%D9%83"
"ar",-67.0,"%D9%85%D8%AD%D9%85%D8%AF"
"ar",-63.0,"%D8%A8%D8%B1%D8%AC_%D8%AE%D9%84%D9%8A%D9%81%D8%A9"
"ar",-61.0,"%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%A8%D9%86_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2_%D8%A7%D9%84%D8%B9%D8%B3%D8%A7%D9%81"
"ar",-60.0,"%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9"
"ar",-59.0,"%D9%85%D8%A7%D8%B3%D9%88%D9%86%D9%8A%D8%A9"
"ar",-58.0,"%D8%A8%D8%A7%D8%A8%D8%A7_%D9%86%D9%88%D9%8A%D9%84"
